Student ID,English,Mathematics,Science,Social Studies,Logical Reasoning,Computer Awareness,Courses,Interest
Student_4_8,82,78,92,76,85,81,DIPLOMA,Physical Education and Wellness
Student_4_9,84,86,80,76,88,81,DIPLOMA,"Finance, Business, and Marketing"
Student_5_1,78,80,81,77,85,87,DIPLOMA,Computer Science and Information Technology
Student_5_2,76,87,87,75,84,82,DIPLOMA,Mechanical and Electrical
Student_5_3,75,81,85,79,80,92,DIPLOMA,Electronics and Communication
Student_5_4,76,84,78,88,92,82,DIPLOMA,Construction and Design
Student_5_5,94,83,80,80,82,80,DIPLOMA,Hospitality and Event Management
Student_5_6,85,84,90,78,83,75,DIPLOMA,Life Sciences and Environment
Student_5_7,85,78,81,82,84,85,DIPLOMA,Arts and Media
Student_5_8,81,77,87,80,82,84,DIPLOMA,Physical Education and Wellness
Student_5_9,80,83,77,80,91,82,DIPLOMA,"Finance, Business, and Marketing"
Student_6_1,75,82,83,76,83,91,DIPLOMA,Computer Science and Information Technology
Student_6_2,79,95,83,80,80,80,DIPLOMA,Mechanical and Electrical
Student_6_3,78,82,86,79,83,87,DIPLOMA,Electronics and Communication
Student_6_4,77,81,78,81,87,84,DIPLOMA,Construction and Design
Student_6_5,94,80,80,81,84,85,DIPLOMA,Hospitality and Event Management
Student_6_6,84,85,86,78,86,80,DIPLOMA,Life Sciences and Environment
Student_6_7,89,80,80,86,85,84,DIPLOMA,Arts and Media
Student_6_8,86,80,88,78,80,85,DIPLOMA,Physical Education and Wellness
Student_6_9,85,88,80,77,85,83,DIPLOMA,"Finance, Business, and Marketing"
Student_7_1,75,86,84,77,83,88,DIPLOMA,Computer Science and Information Technology
Student_7_2,75,87,82,76,84,81,DIPLOMA,Mechanical and Electrical
Student_7_3,78,82,82,76,84,90,DIPLOMA,Electronics and Communication
Student_7_4,75,80,77,88,85,83,DIPLOMA,Construction and Design
Student_7_5,87,81,80,82,84,84,DIPLOMA,Hospitality and Event Management
Student_7_6,80,82,88,79,80,75,DIPLOMA,Life Sciences and Environment
Student_7_7,88,80,84,85,81,83,DIPLOMA,Arts and Media
Student_7_8,87,79,89,78,80,82,DIPLOMA,Physical Education and Wellness
Student_7_9,84,90,77,80,94,83,DIPLOMA,"Finance, Business, and Marketing"
Student_8_1,78,87,82,75,84,89,DIPLOMA,Computer Science and Information Technology
Student_8_2,80,88,86,79,82,80,DIPLOMA,Mechanical and Electrical
Student_8_3,76,82,84,75,84,95,DIPLOMA,Electronics and Communication
Student_8_4,79,82,76,86,85,82,DIPLOMA,Construction and Design
Student_8_5,89,82,76,82,80,85,DIPLOMA,Hospitality and Event Management
Student_8_6,80,83,93,79,83,76,DIPLOMA,Life Sciences and Environment
Student_8_7,88,75,81,90,83,82,DIPLOMA,Arts and Media
Student_8_8,89,77,86,77,80,83,DIPLOMA,Physical Education and Wellness
Student_8_9,85,84,76,78,87,82,DIPLOMA,"Finance, Business, and Marketing"
Student_9_1,76,89,82,77,84,90,DIPLOMA,Computer Science and Information Technology
Student_9_2,77,89,85,78,81,83,DIPLOMA,Mechanical and Electrical
Student_9_3,77,85,81,75,84,89,DIPLOMA,Electronics and Communication
Student_9_4,80,80,80,86,94,80,DIPLOMA,Construction and Design
Student_9_5,92,85,76,86,81,80,DIPLOMA,Hospitality and Event Management
Student_9_6,81,82,90,79,80,80,DIPLOMA,Life Sciences and Environment
Student_9_7,92,80,83,87,84,84,DIPLOMA,Arts and Media
Student_9_8,84,80,87,75,82,84,DIPLOMA,Physical Education and Wellness
Student_9_9,82,80,79,78,92,85,DIPLOMA,"Finance, Business, and Marketing"
Student_10_1,75,87,84,78,81,90,DIPLOMA,Computer Science and Information Technology
Student_10_2,75,85,80,75,81,83,DIPLOMA,Mechanical and Electrical
Student_10_3,78,85,87,80,83,94,DIPLOMA,Electronics and Communication
Student_10_4,77,83,80,80,94,82,DIPLOMA,Construction and Design
Student_10_5,94,82,78,88,82,82,DIPLOMA,Hospitality and Event Management
Student_10_6,80,84,94,75,81,79,DIPLOMA,Life Sciences and Environment
Student_10_7,89,76,80,85,84,83,DIPLOMA,Arts and Media
Student_10_8,90,79,95,76,83,82,DIPLOMA,Physical Education and Wellness
Student_10_9,80,82,75,77,88,81,DIPLOMA,"Finance, Business, and Marketing"
Student_11_1,79,80,84,75,82,93,DIPLOMA,Computer Science and Information Technology
Student_11_2,77,90,87,78,85,83,DIPLOMA,Mechanical and Electrical
Student_11_3,80,85,83,75,83,86,DIPLOMA,Electronics and Communication
Student_11_4,80,80,78,86,93,84,DIPLOMA,Construction and Design
Student_11_5,95,84,75,86,84,83,DIPLOMA,Hospitality and Event Management
Student_11_6,81,82,87,76,84,80,DIPLOMA,Life Sciences and Environment
Student_11_7,93,76,81,86,81,81,DIPLOMA,Arts and Media
Student_11_8,82,77,94,78,80,83,DIPLOMA,Physical Education and Wellness
Student_11_9,82,84,80,76,87,82,DIPLOMA,"Finance, Business, and Marketing"
Student_12_1,75,85,82,76,84,90,DIPLOMA,Computer Science and Information Technology
Student_12_2,79,93,85,77,82,83,DIPLOMA,Mechanical and Electrical
Student_12_3,79,83,84,75,80,85,DIPLOMA,Electronics and Communication
Student_12_4,77,85,79,80,90,81,DIPLOMA,Construction and Design
Student_12_5,87,81,80,84,84,85,DIPLOMA,Hospitality and Event Management
Student_12_6,82,84,91,79,82,79,DIPLOMA,Life Sciences and Environment
Student_12_7,94,79,81,85,85,81,DIPLOMA,Arts and Media
Student_12_8,86,77,88,79,80,83,DIPLOMA,Physical Education and Wellness
Student_12_9,82,88,77,78,91,83,DIPLOMA,"Finance, Business, and Marketing"
Student_13_1,77,82,80,78,82,86,DIPLOMA,Computer Science and Information Technology
Student_13_2,80,92,88,76,82,82,DIPLOMA,Mechanical and Electrical
Student_13_3,78,85,90,78,84,91,DIPLOMA,Electronics and Communication
Student_13_4,78,80,76,83,94,81,DIPLOMA,Construction and Design
Student_13_5,92,84,80,84,84,80,DIPLOMA,Hospitality and Event Management
Student_13_6,83,82,90,80,81,78,DIPLOMA,Life Sciences and Environment
Student_13_7,85,77,84,81,82,84,DIPLOMA,Arts and Media
Student_13_8,90,79,86,77,81,84,DIPLOMA,Physical Education and Wellness
Student_13_9,85,80,79,76,86,82,DIPLOMA,"Finance, Business, and Marketing"
Student_14_1,78,80,82,79,84,85,DIPLOMA,Computer Science and Information Technology
Student_14_2,75,92,87,75,80,84,DIPLOMA,Mechanical and Electrical
Student_14_3,77,80,80,79,83,95,DIPLOMA,Electronics and Communication
Student_14_4,76,80,75,86,86,84,DIPLOMA,Construction and Design
Student_14_5,86,83,75,85,80,83,DIPLOMA,Hospitality and Event Management
Student_14_6,80,81,86,77,84,78,DIPLOMA,Life Sciences and Environment
Student_14_7,89,76,85,85,85,83,DIPLOMA,Arts and Media
Student_14_8,88,77,88,77,85,80,DIPLOMA,Physical Education and Wellness
Student_14_9,82,86,78,80,95,82,DIPLOMA,"Finance, Business, and Marketing"
Student_15_1,75,84,85,75,82,90,DIPLOMA,Computer Science and Information Technology
Student_15_2,78,93,87,80,80,85,DIPLOMA,Mechanical and Electrical
Student_15_3,75,81,90,79,84,93,DIPLOMA,Electronics and Communication
Student_15_4,78,84,78,80,90,81,DIPLOMA,Construction and Design
Student_15_5,88,83,77,85,81,82,DIPLOMA,Hospitality and Event Management
Student_15_6,85,83,85,78,81,77,DIPLOMA,Life Sciences and Environment
Student_15_7,88,80,83,85,83,80,DIPLOMA,Arts and Media
Student_15_8,85,78,93,75,85,85,DIPLOMA,Physical Education and Wellness
Student_15_9,80,84,80,77,92,84,DIPLOMA,"Finance, Business, and Marketing"
Student_16_1,78,89,83,79,84,89,DIPLOMA,Computer Science and Information Technology
Student_16_2,77,94,84,77,85,85,DIPLOMA,Mechanical and Electrical
Student_16_3,77,83,87,77,84,88,DIPLOMA,Electronics and Communication
Student_16_4,76,80,76,83,91,82,DIPLOMA,Construction and Design
Student_16_5,91,82,80,85,83,83,DIPLOMA,Hospitality and Event Management
Student_16_6,80,85,88,75,84,77,DIPLOMA,Life Sciences and Environment
Student_16_7,85,78,83,89,85,83,DIPLOMA,Arts and Media
Student_16_8,89,79,95,76,85,80,DIPLOMA,Physical Education and Wellness
Student_16_9,81,88,78,80,95,85,DIPLOMA,"Finance, Business, and Marketing"
Student_17_1,76,90,83,79,81,85,DIPLOMA,Computer Science and Information Technology
Student_17_2,76,85,89,78,84,81,DIPLOMA,Mechanical and Electrical
Student_17_3,77,81,83,77,84,86,DIPLOMA,Electronics and Communication
Student_17_4,78,83,77,87,89,83,DIPLOMA,Construction and Design
Student_17_5,93,83,76,86,85,82,DIPLOMA,Hospitality and Event Management
Student_17_6,85,82,86,76,85,77,DIPLOMA,Life Sciences and Environment
Student_17_7,89,75,83,84,84,84,DIPLOMA,Arts and Media
Student_17_8,88,77,90,78,83,83,DIPLOMA,Physical Education and Wellness
Student_17_9,80,88,78,80,93,82,DIPLOMA,"Finance, Business, and Marketing"
Student_18_1,76,82,82,76,83,93,DIPLOMA,Computer Science and Information Technology
Student_18_2,79,85,86,78,82,81,DIPLOMA,Mechanical and Electrical
Student_18_3,77,80,87,76,82,86,DIPLOMA,Electronics and Communication
Student_18_4,79,83,76,82,85,80,DIPLOMA,Construction and Design
Student_18_5,91,85,77,89,84,82,DIPLOMA,Hospitality and Event Management
Student_18_6,84,80,91,77,80,78,DIPLOMA,Life Sciences and Environment
Student_18_7,87,78,80,89,82,82,DIPLOMA,Arts and Media
Student_18_8,89,75,90,75,81,84,DIPLOMA,Physical Education and Wellness
Student_18_9,81,86,79,77,93,83,DIPLOMA,"Finance, Business, and Marketing"
Student_19_1,78,90,83,77,80,87,DIPLOMA,Computer Science and Information Technology
Student_19_2,76,86,87,80,80,81,DIPLOMA,Mechanical and Electrical
Student_19_3,76,83,90,75,83,88,DIPLOMA,Electronics and Communication
Student_19_4,75,84,78,83,87,81,DIPLOMA,Construction and Design
Student_19_5,87,85,78,84,85,80,DIPLOMA,Hospitality and Event Management
Student_19_6,81,83,95,77,83,79,DIPLOMA,Life Sciences and Environment
Student_19_7,95,76,82,80,81,82,DIPLOMA,Arts and Media
Student_19_8,86,75,85,75,83,84,DIPLOMA,Physical Education and Wellness
Student_19_9,83,86,78,79,92,84,DIPLOMA,"Finance, Business, and Marketing"
Student_20_1,76,84,80,75,82,88,DIPLOMA,Computer Science and Information Technology
Student_20_2,77,86,90,79,83,83,DIPLOMA,Mechanical and Electrical
Student_20_3,76,84,86,75,82,88,DIPLOMA,Electronics and Communication
Student_20_4,77,81,77,87,87,80,DIPLOMA,Construction and Design
Student_20_5,92,81,79,90,85,82,DIPLOMA,Hospitality and Event Management
Student_20_6,84,85,88,79,87,75,DIPLOMA,Life Sciences and Environment
Student_20_7,90,78,82,89,85,81,DIPLOMA,Arts and Media
Student_20_8,87,76,89,79,83,80,DIPLOMA,Physical Education and Wellness
Student_20_9,83,84,76,78,91,81,DIPLOMA,"Finance, Business, and Marketing"
Student_21_1,79,87,80,79,80,92,DIPLOMA,Computer Science and Information Technology
Student_21_2,75,87,81,77,85,80,DIPLOMA,Mechanical and Electrical
Student_21_3,76,80,84,79,82,94,DIPLOMA,Electronics and Communication
Student_21_4,77,83,78,90,89,81,DIPLOMA,Construction and Design
Student_21_5,93,82,77,81,84,85,DIPLOMA,Hospitality and Event Management
Student_21_6,83,80,92,76,85,77,DIPLOMA,Life Sciences and Environment
Student_21_7,89,79,83,84,85,80,DIPLOMA,Arts and Media
Student_21_8,81,80,91,75,82,85,DIPLOMA,Physical Education and Wellness
Student_21_9,81,85,80,80,95,85,DIPLOMA,"Finance, Business, and Marketing"
Student_22_1,80,86,84,76,81,91,DIPLOMA,Computer Science and Information Technology
Student_22_2,78,90,90,80,82,84,DIPLOMA,Mechanical and Electrical
Student_22_3,79,83,83,76,82,95,DIPLOMA,Electronics and Communication
Student_22_4,76,82,75,80,94,85,DIPLOMA,Construction and Design
Student_22_5,89,84,75,90,81,85,DIPLOMA,Hospitality and Event Management
Student_22_6,82,84,92,76,90,77,DIPLOMA,Life Sciences and Environment
Student_22_7,92,79,81,84,82,85,DIPLOMA,Arts and Media
Student_22_8,90,77,95,79,84,83,DIPLOMA,Physical Education and Wellness
Student_22_9,82,82,76,80,85,85,DIPLOMA,"Finance, Business, and Marketing"
Student_23_1,80,90,82,79,80,95,DIPLOMA,Computer Science and Information Technology
Student_23_2,78,92,81,79,84,85,DIPLOMA,Mechanical and Electrical
Student_23_3,80,81,83,79,80,89,DIPLOMA,Electronics and Communication
Student_23_4,79,85,76,83,95,81,DIPLOMA,Construction and Design
Student_23_5,93,82,80,85,82,85,DIPLOMA,Hospitality and Event Management
Student_23_6,81,82,85,75,81,75,DIPLOMA,Life Sciences and Environment
Student_23_7,95,79,84,86,81,81,DIPLOMA,Arts and Media
Student_23_8,85,76,88,75,85,82,DIPLOMA,Physical Education and Wellness
Student_23_9,80,80,79,75,91,80,DIPLOMA,"Finance, Business, and Marketing"
Student_24_1,79,86,81,77,81,87,DIPLOMA,Computer Science and Information Technology
Student_24_2,78,93,88,79,80,83,DIPLOMA,Mechanical and Electrical
Student_24_3,80,80,86,75,84,95,DIPLOMA,Electronics and Communication
Student_24_4,76,80,77,85,89,81,DIPLOMA,Construction and Design
Student_24_5,95,82,79,81,83,81,DIPLOMA,Hospitality and Event Management
Student_24_6,85,83,92,79,80,75,DIPLOMA,Life Sciences and Environment
Student_24_7,95,75,82,86,85,85,DIPLOMA,Arts and Media
Student_24_8,90,80,91,75,83,82,DIPLOMA,Physical Education and Wellness
Student_24_9,83,90,77,76,89,80,DIPLOMA,"Finance, Business, and Marketing"
Student_25_1,75,80,85,78,84,85,DIPLOMA,Computer Science and Information Technology
Student_25_2,80,86,89,75,82,83,DIPLOMA,Mechanical and Electrical
Student_25_3,78,80,83,75,81,93,DIPLOMA,Electronics and Communication
Student_25_4,79,81,76,83,93,80,DIPLOMA,Construction and Design
Student_25_5,93,80,76,86,83,85,DIPLOMA,Hospitality and Event Management
Student_25_6,81,84,87,76,87,80,DIPLOMA,Life Sciences and Environment
Student_25_7,85,76,83,83,84,84,DIPLOMA,Arts and Media
Student_25_8,81,75,88,77,81,83,DIPLOMA,Physical Education and Wellness
Student_25_9,81,89,76,80,95,84,DIPLOMA,"Finance, Business, and Marketing"
Student_26_1,80,82,85,80,81,88,DIPLOMA,Computer Science and Information Technology
Student_26_2,79,94,89,77,83,80,DIPLOMA,Mechanical and Electrical
Student_26_3,75,83,82,77,83,93,DIPLOMA,Electronics and Communication
Student_26_4,76,81,78,90,86,82,DIPLOMA,Construction and Design
Student_26_5,94,81,76,89,81,80,DIPLOMA,Hospitality and Event Management
Student_26_6,85,80,93,77,83,76,DIPLOMA,Life Sciences and Environment
Student_26_7,94,76,85,90,85,83,DIPLOMA,Arts and Media
Student_26_8,84,76,90,78,81,85,DIPLOMA,Physical Education and Wellness
Student_26_9,81,88,79,77,95,85,DIPLOMA,"Finance, Business, and Marketing"
Student_27_1,77,89,80,80,84,91,DIPLOMA,Computer Science and Information Technology
Student_27_2,80,87,82,79,85,85,DIPLOMA,Mechanical and Electrical
Student_27_3,76,85,80,78,81,93,DIPLOMA,Electronics and Communication
Student_27_4,80,82,76,89,94,80,DIPLOMA,Construction and Design
Student_27_5,91,85,80,89,82,80,DIPLOMA,Hospitality and Event Management
Student_27_6,81,82,92,77,88,79,DIPLOMA,Life Sciences and Environment
Student_27_7,87,75,81,89,82,85,DIPLOMA,Arts and Media
Student_27_8,87,78,92,79,82,85,DIPLOMA,Physical Education and Wellness
Student_27_9,82,86,78,79,95,82,DIPLOMA,"Finance, Business, and Marketing"
Student_28_1,78,80,83,80,84,90,DIPLOMA,Computer Science and Information Technology
Student_28_2,76,91,82,77,80,85,DIPLOMA,Mechanical and Electrical
Student_28_3,79,81,89,75,85,88,DIPLOMA,Electronics and Communication
Student_28_4,78,84,79,83,92,83,DIPLOMA,Construction and Design
Student_28_5,85,82,75,82,85,84,DIPLOMA,Hospitality and Event Management
Student_28_6,84,80,90,79,89,77,DIPLOMA,Life Sciences and Environment
Student_28_7,86,80,82,84,83,85,DIPLOMA,Arts and Media
Student_28_8,86,79,89,79,83,82,DIPLOMA,Physical Education and Wellness
Student_28_9,85,80,77,76,86,83,DIPLOMA,"Finance, Business, and Marketing"
Student_29_1,75,85,85,80,85,92,DIPLOMA,Computer Science and Information Technology
Student_29_2,77,92,90,79,81,83,DIPLOMA,Mechanical and Electrical
Student_29_3,77,82,89,77,85,88,DIPLOMA,Electronics and Communication
Student_29_4,76,84,75,85,95,85,DIPLOMA,Construction and Design
Student_29_5,94,85,79,88,85,82,DIPLOMA,Hospitality and Event Management
Student_29_6,84,84,88,77,81,75,DIPLOMA,Life Sciences and Environment
Student_29_7,92,76,82,89,81,83,DIPLOMA,Arts and Media
Student_29_8,80,80,86,77,80,83,DIPLOMA,Physical Education and Wellness
Student_29_9,84,82,80,80,87,83,DIPLOMA,"Finance, Business, and Marketing"
Student_30_1,79,89,82,77,82,90,DIPLOMA,Computer Science and Information Technology
Student_30_2,80,89,86,75,84,80,DIPLOMA,Mechanical and Electrical
Student_30_3,78,82,85,80,81,94,DIPLOMA,Electronics and Communication
Student_30_4,80,84,75,84,94,81,DIPLOMA,Construction and Design
Student_30_5,94,80,78,90,84,83,DIPLOMA,Hospitality and Event Management
Student_30_6,84,83,92,80,81,77,DIPLOMA,Life Sciences and Environment
Student_30_7,85,76,80,81,83,80,DIPLOMA,Arts and Media
Student_30_8,87,75,86,76,80,81,DIPLOMA,Physical Education and Wellness
Student_30_9,85,89,80,78,90,83,DIPLOMA,"Finance, Business, and Marketing"
Student_31_1,76,86,85,80,81,87,DIPLOMA,Computer Science and Information Technology
Student_31_2,78,90,90,76,84,81,DIPLOMA,Mechanical and Electrical
Student_31_3,76,84,87,75,81,86,DIPLOMA,Electronics and Communication
Student_31_4,78,85,78,84,95,80,DIPLOMA,Construction and Design
Student_31_5,90,84,78,82,84,81,DIPLOMA,Hospitality and Event Management
Student_31_6,84,82,90,76,84,78,DIPLOMA,Life Sciences and Environment
Student_31_7,87,80,81,81,84,84,DIPLOMA,Arts and Media
Student_31_8,80,77,86,80,81,84,DIPLOMA,Physical Education and Wellness
Student_31_9,80,84,76,77,87,84,DIPLOMA,"Finance, Business, and Marketing"
Student_32_1,79,87,84,76,81,90,DIPLOMA,Computer Science and Information Technology
Student_32_2,76,90,87,76,82,82,DIPLOMA,Mechanical and Electrical
Student_32_3,75,82,86,79,82,85,DIPLOMA,Electronics and Communication
Student_32_4,80,84,76,87,85,84,DIPLOMA,Construction and Design
Student_32_5,85,85,78,85,81,81,DIPLOMA,Hospitality and Event Management
Student_32_6,83,83,87,76,83,80,DIPLOMA,Life Sciences and Environment
Student_32_7,91,77,84,90,80,85,DIPLOMA,Arts and Media
Student_32_8,81,78,89,78,81,81,DIPLOMA,Physical Education and Wellness
Student_32_9,82,86,79,75,87,83,DIPLOMA,"Finance, Business, and Marketing"
Student_33_1,78,82,80,79,81,93,DIPLOMA,Computer Science and Information Technology
Student_33_2,75,88,90,76,80,85,DIPLOMA,Mechanical and Electrical
Student_33_3,78,81,88,79,84,88,DIPLOMA,Electronics and Communication
Student_33_4,78,82,76,89,93,85,DIPLOMA,Construction and Design
Student_33_5,93,84,75,80,84,80,DIPLOMA,Hospitality and Event Management
Student_33_6,80,83,94,75,87,75,DIPLOMA,Life Sciences and Environment
Student_33_7,93,79,82,82,80,81,DIPLOMA,Arts and Media
Student_33_8,80,79,89,76,82,81,DIPLOMA,Physical Education and Wellness
Student_33_9,85,82,78,75,89,84,DIPLOMA,"Finance, Business, and Marketing"
Student_34_1,76,82,80,77,84,88,DIPLOMA,Computer Science and Information Technology
Student_34_2,76,85,83,80,82,82,DIPLOMA,Mechanical and Electrical
Student_34_3,76,80,80,80,82,91,DIPLOMA,Electronics and Communication
Student_34_4,79,84,76,86,90,85,DIPLOMA,Construction and Design
Student_34_5,90,85,79,82,81,84,DIPLOMA,Hospitality and Event Management
Student_34_6,82,82,87,80,81,80,DIPLOMA,Life Sciences and Environment
Student_34_7,87,79,82,90,83,83,DIPLOMA,Arts and Media
Student_34_8,89,80,89,75,82,81,DIPLOMA,Physical Education and Wellness
Student_34_9,81,88,80,76,95,84,DIPLOMA,"Finance, Business, and Marketing"
Student_35_1,75,90,84,77,85,89,DIPLOMA,Computer Science and Information Technology
Student_35_2,80,95,88,75,85,84,DIPLOMA,Mechanical and Electrical
Student_35_3,78,80,84,80,81,93,DIPLOMA,Electronics and Communication
Student_35_4,76,83,77,87,94,82,DIPLOMA,Construction and Design
Student_35_5,95,84,76,80,83,84,DIPLOMA,Hospitality and Event Management
Student_35_6,83,80,86,78,85,75,DIPLOMA,Life Sciences and Environment
Student_35_7,90,75,82,83,84,85,DIPLOMA,Arts and Media
Student_35_8,81,75,93,79,82,85,DIPLOMA,Physical Education and Wellness
Student_35_9,82,87,79,77,93,84,DIPLOMA,"Finance, Business, and Marketing"
Student_36_1,76,89,82,79,84,94,DIPLOMA,Computer Science and Information Technology
Student_36_2,78,89,83,79,82,81,DIPLOMA,Mechanical and Electrical
Student_36_3,75,83,84,76,84,94,DIPLOMA,Electronics and Communication
Student_36_4,75,83,80,89,87,81,DIPLOMA,Construction and Design
Student_36_5,87,81,77,86,82,85,DIPLOMA,Hospitality and Event Management
Student_36_6,83,84,90,79,88,77,DIPLOMA,Life Sciences and Environment
Student_36_7,92,77,82,84,80,80,DIPLOMA,Arts and Media
Student_36_8,84,76,91,76,84,82,DIPLOMA,Physical Education and Wellness
Student_36_9,81,86,77,80,85,81,DIPLOMA,"Finance, Business, and Marketing"
Student_37_1,80,88,83,78,81,95,DIPLOMA,Computer Science and Information Technology
Student_37_2,79,91,83,77,85,85,DIPLOMA,Mechanical and Electrical
Student_37_3,78,83,83,78,83,86,DIPLOMA,Electronics and Communication
Student_37_4,80,84,78,90,88,82,DIPLOMA,Construction and Design
Student_37_5,91,85,79,85,83,83,DIPLOMA,Hospitality and Event Management
Student_37_6,81,84,92,77,90,76,DIPLOMA,Life Sciences and Environment
Student_37_7,95,79,84,85,81,82,DIPLOMA,Arts and Media
Student_37_8,80,77,87,77,82,82,DIPLOMA,Physical Education and Wellness
Student_37_9,82,88,79,75,87,80,DIPLOMA,"Finance, Business, and Marketing"
Student_38_1,77,82,83,75,85,92,DIPLOMA,Computer Science and Information Technology
Student_38_2,76,87,85,80,81,82,DIPLOMA,Mechanical and Electrical
Student_38_3,78,85,84,79,82,95,DIPLOMA,Electronics and Communication
Student_38_4,75,81,75,85,90,80,DIPLOMA,Construction and Design
Student_38_5,92,83,75,83,83,82,DIPLOMA,Hospitality and Event Management
Student_38_6,80,82,87,76,84,75,DIPLOMA,Life Sciences and Environment
Student_38_7,86,75,81,89,80,84,DIPLOMA,Arts and Media
Student_38_8,81,78,90,78,81,80,DIPLOMA,Physical Education and Wellness
Student_38_9,81,81,78,75,95,81,DIPLOMA,"Finance, Business, and Marketing"
Student_39_1,75,81,81,77,82,85,DIPLOMA,Computer Science and Information Technology
Student_39_2,77,93,85,77,83,83,DIPLOMA,Mechanical and Electrical
Student_39_3,78,81,89,78,81,88,DIPLOMA,Electronics and Communication
Student_39_4,75,82,77,88,93,82,DIPLOMA,Construction and Design
Student_39_5,95,82,80,89,82,85,DIPLOMA,Hospitality and Event Management
Student_39_6,82,85,94,79,86,78,DIPLOMA,Life Sciences and Environment
Student_39_7,87,75,84,80,81,83,DIPLOMA,Arts and Media
Student_39_8,87,79,88,78,85,83,DIPLOMA,Physical Education and Wellness
Student_39_9,82,86,79,80,86,85,DIPLOMA,"Finance, Business, and Marketing"
Student_40_1,78,87,82,79,83,92,DIPLOMA,Computer Science and Information Technology
Student_40_2,76,90,89,77,80,82,DIPLOMA,Mechanical and Electrical
Student_40_3,77,82,84,77,80,91,DIPLOMA,Electronics and Communication
Student_40_4,80,84,75,82,88,81,DIPLOMA,Construction and Design
Student_40_5,94,85,77,87,84,85,DIPLOMA,Hospitality and Event Management
Student_40_6,85,81,86,76,90,75,DIPLOMA,Life Sciences and Environment
Student_40_7,95,77,82,84,83,84,DIPLOMA,Arts and Media
Student_40_8,82,77,85,75,81,85,DIPLOMA,Physical Education and Wellness
Student_40_9,82,81,77,79,86,82,DIPLOMA,"Finance, Business, and Marketing"
Student_41_1,75,89,85,80,82,95,DIPLOMA,Computer Science and Information Technology
Student_41_2,76,92,82,80,84,85,DIPLOMA,Mechanical and Electrical
Student_41_3,75,82,83,78,80,92,DIPLOMA,Electronics and Communication
Student_41_4,76,80,77,85,90,82,DIPLOMA,Construction and Design
Student_41_5,86,81,78,89,83,81,DIPLOMA,Hospitality and Event Management
Student_41_6,84,82,86,75,89,78,DIPLOMA,Life Sciences and Environment
Student_41_7,87,76,80,89,82,83,DIPLOMA,Arts and Media
Student_41_8,86,75,94,77,83,84,DIPLOMA,Physical Education and Wellness
Student_41_9,81,89,75,76,90,82,DIPLOMA,"Finance, Business, and Marketing"
Student_42_1,77,83,83,80,85,93,DIPLOMA,Computer Science and Information Technology
Student_42_2,79,94,82,75,81,85,DIPLOMA,Mechanical and Electrical
