Student ID,English,Mathematics,Science,Logical Reasoning,Computer Awareness
Student_50_2,65,74,70,71,69
Student_50_3,64,67,69,69,67
Student_50_4,55,61,57,60,63
Student_50_5,55,55,55,58,56
Student_51_1,68,70,70,70,70
Student_51_2,74,73,71,69,68
Student_51_3,68,69,69,67,66
Student_51_4,55,64,56,60,58
Student_51_5,59,59,55,55,58
Student_52_1,62,70,74,68,71
Student_52_2,72,70,74,69,67
Student_52_3,70,69,65,65,69
Student_52_4,58,62,59,60,56
Student_52_5,59,55,59,55,59
Student_53_1,71,74,70,68,73
Student_53_2,65,74,73,67,66
Student_53_3,60,69,68,69,65
Student_53_4,59,62,58,64,58
Student_53_5,59,59,56,55,59
Student_54_1,68,73,74,66,74
Student_54_2,62,70,70,67,67
Student_54_3,67,67,65,66,65
Student_54_4,59,63,56,62,59
Student_54_5,55,57,56,58,55
Student_55_1,71,70,71,67,71
Student_55_2,65,74,71,74,66
Student_55_3,62,66,69,66,66
Student_55_4,59,63,55,63,55
Student_55_5,59,55,56,57,57
Student_56_1,70,73,71,68,71
Student_56_2,67,70,70,66,69
Student_56_3,68,69,67,68,65
Student_56_4,59,63,57,61,62
Student_56_5,56,58,55,58,58
Student_57_1,64,72,71,67,72
Student_57_2,62,70,72,71,65
Student_57_3,73,65,67,69,65
Student_57_4,59,62,59,63,59
Student_57_5,59,59,55,58,59
Student_58_1,65,71,72,68,70
Student_58_2,66,72,71,66,69
Student_58_3,61,67,65,68,65
Student_58_4,59,61,57,62,55
Student_58_5,57,57,58,56,59
Student_59_1,71,71,72,69,73
Student_59_2,69,71,73,68,68
Student_59_3,67,66,65,67,66
Student_59_4,59,61,57,64,63
Student_59_5,56,57,56,56,59
Student_60_1,63,71,72,67,71
Student_60_2,66,71,71,73,65
Student_60_3,74,67,65,67,67
Student_60_4,55,64,58,61,62
Student_60_5,57,56,58,57,55
Student_61_1,64,70,71,68,74
Student_61_2,73,74,71,74,67
Student_61_3,61,69,65,66,67
Student_61_4,56,64,57,62,62
Student_61_5,59,59,57,55,59
Student_62_1,72,71,70,67,74
Student_62_2,63,73,70,72,66
Student_62_3,74,67,67,69,68
Student_62_4,58,60,56,60,58
Student_62_5,57,56,58,56,56
Student_63_1,74,74,73,74,74
Student_63_2,69,71,72,67,68
Student_63_3,60,68,67,66,65
Student_63_4,56,64,55,63,59
Student_63_5,56,57,57,59,56
Student_64_1,64,73,70,71,70
Student_64_2,73,72,72,71,68
Student_64_3,63,69,67,69,68
Student_64_4,59,61,57,63,64
Student_64_5,57,55,59,56,55
Student_65_1,64,74,73,65,70
Student_65_2,74,72,73,72,69
Student_65_3,70,65,66,65,69
Student_65_4,59,60,59,62,60
Student_65_5,55,57,59,58,57
Student_66_1,67,72,71,72,72
Student_66_2,71,73,74,66,67
Student_66_3,74,67,65,65,69
Student_66_4,57,61,55,64,59
Student_66_5,58,59,57,57,58
Student_67_1,68,73,73,70,72
Student_67_2,73,71,74,67,68
Student_67_3,74,66,66,65,69
Student_67_4,59,60,58,64,60
Student_67_5,58,56,58,59,56
Student_68_1,72,70,70,68,71
Student_68_2,68,73,71,67,65
Student_68_3,61,69,68,65,65
Student_68_4,56,60,58,60,60
Student_68_5,55,55,59,58,59
Student_69_1,68,72,72,66,70
Student_69_2,63,72,70,68,67
Student_69_3,71,69,67,68,67
Student_69_4,59,64,59,62,61
Student_69_5,55,55,57,55,56
Student_70_1,61,74,74,72,73
Student_70_2,64,72,74,70,69
Student_70_3,61,68,67,65,68
Student_70_4,55,64,58,64,58
Student_70_5,57,57,55,59,57
Student_71_1,64,73,72,73,70
Student_71_2,69,71,74,70,66
Student_71_3,65,68,67,67,66
Student_71_4,59,61,58,63,60
Student_71_5,58,58,56,58,56
Student_72_1,70,73,73,65,74
Student_72_2,74,70,73,70,67
Student_72_3,71,66,68,68,66
Student_72_4,55,61,58,60,61
Student_72_5,55,58,56,59,58
Student_73_1,68,71,72,67,71
Student_73_2,67,70,71,73,65
Student_73_3,70,68,69,68,66
Student_73_4,59,62,59,62,55
Student_73_5,56,56,55,55,57
Student_74_1,67,71,74,67,71
Student_74_2,66,70,74,68,69
Student_74_3,74,67,65,68,65
Student_74_4,57,63,59,63,58
Student_74_5,56,57,56,58,55
Student_75_1,61,73,73,68,73
Student_75_2,68,74,71,71,68
Student_75_3,64,67,68,68,69
Student_75_4,58,60,59,61,55
Student_75_5,59,57,57,58,55
Student_76_1,63,72,73,70,70
Student_76_2,71,71,74,72,65
Student_76_3,74,68,65,65,69
Student_76_4,55,61,57,64,63
Student_76_5,59,57,58,58,58
Student_77_1,67,73,73,73,71
Student_77_2,69,71,70,67,69
Student_77_3,72,65,66,69,67
Student_77_4,58,64,58,64,64
Student_77_5,58,58,57,59,56
Student_78_1,73,74,72,70,73
Student_78_2,67,72,73,72,69
Student_78_3,66,68,67,67,67
Student_78_4,57,60,56,60,60
Student_78_5,55,55,55,58,58
Student_79_1,61,72,71,72,70
Student_79_2,66,70,70,73,67
Student_79_3,60,69,66,69,68
Student_79_4,59,60,58,61,64
Student_79_5,58,56,56,56,57
Student_80_1,66,71,70,65,71
Student_80_2,60,73,73,68,67
Student_80_3,63,67,65,67,67
Student_80_4,58,63,59,61,55
Student_80_5,55,57,58,56,57
Student_81_1,65,72,72,68,74
Student_81_2,65,72,71,69,68
Student_81_3,71,68,68,69,67
Student_81_4,59,62,57,60,61
Student_81_5,59,59,57,56,59
Student_82_1,63,71,70,72,73
Student_82_2,69,72,74,71,67
Student_82_3,72,67,65,66,66
Student_82_4,55,64,59,64,57
Student_82_5,58,58,56,57,57
Student_83_1,66,70,73,74,74
Student_83_2,66,73,72,71,68
Student_83_3,62,66,69,67,65
Student_83_4,56,61,56,62,64
Student_83_5,57,56,59,57,59
Student_84_1,66,74,72,73,70
Student_84_2,65,73,71,71,69
Student_84_3,71,67,65,65,66
Student_84_4,59,64,57,61,63
Student_84_5,57,55,55,59,59
Student_85_1,70,74,72,71,73
Student_85_2,64,73,70,72,65
Student_85_3,60,68,66,69,69
Student_85_4,58,62,59,63,55
Student_85_5,57,56,56,57,58
Student_86_1,60,70,74,67,74
Student_86_2,71,72,71,65,66
Student_86_3,67,65,67,66,68
Student_86_4,56,64,58,63,60
Student_86_5,56,58,57,57,55
Student_87_1,64,73,70,68,71
Student_87_2,68,73,73,73,67
Student_87_3,63,69,66,65,66
Student_87_4,56,64,57,62,59
Student_87_5,55,58,55,56,57
Student_88_1,70,73,74,68,70
Student_88_2,60,70,73,65,69
Student_88_3,65,69,67,69,65
Student_88_4,58,62,57,64,61
Student_88_5,57,59,59,58,59
Student_89_1,66,70,73,66,73
Student_89_2,70,71,73,71,68
Student_89_3,73,69,66,67,68
Student_89_4,57,61,56,62,60
Student_89_5,59,56,55,57,58
Student_90_1,63,70,74,68,71
Student_90_2,67,71,73,67,65
Student_90_3,71,68,69,67,69
Student_90_4,55,63,58,63,57
Student_90_5,55,57,56,56,55
Student_91_1,63,74,70,70,73
Student_91_2,71,73,71,67,65
Student_91_3,70,66,65,68,67
Student_91_4,58,60,55,61,58
Student_91_5,57,58,58,55,55
Student_92_1,67,73,74,68,72
Student_92_2,62,73,70,74,69
Student_92_3,61,68,66,68,68
Student_92_4,55,62,56,64,57
Student_92_5,55,59,55,58,56
Student_93_1,73,73,70,68,74
Student_93_2,67,74,74,68,68
Student_93_3,73,68,67,67,67
Student_93_4,59,64,56,61,61
Student_93_5,59,55,57,56,55
Student_94_1,62,72,72,72,70
Student_94_2,61,71,70,74,69
Student_94_3,63,67,66,65,68
Student_94_4,59,60,55,60,58
Student_94_5,59,58,57,58,56
Student_95_1,74,72,73,65,70
Student_95_2,70,74,72,69,69
Student_95_3,73,65,66,66,68
Student_95_4,58,62,58,63,59
Student_95_5,55,55,59,58,59
Student_96_1,69,73,74,66,72
Student_96_2,71,71,73,65,66
Student_96_3,63,67,66,67,65
Student_96_4,56,64,57,63,64
Student_96_5,55,58,55,57,58
Student_97_1,68,73,71,71,71
Student_97_2,68,74,70,69,65
Student_97_3,73,68,65,65,69
Student_97_4,58,64,59,64,58
Student_97_5,55,59,58,59,55
Student_98_1,66,73,72,66,70
Student_98_2,74,72,70,73,65
Student_98_3,71,69,65,67,69
Student_98_4,56,60,58,62,61
Student_98_5,57,59,59,57,57
Student_99_1,68,71,70,66,74
Student_99_2,69,73,72,74,67
Student_99_3,70,68,68,66,68
Student_99_4,55,63,59,62,62
Student_99_5,59,56,56,59,55
Student_100_1,67,70,72,68,72
Student_100_2,65,73,71,66,69
Student_100_3,73,65,69,66,68
Student_100_4,58,64,57,64,55
Student_100_5,55,55,55,56,56
Student_101_1,67,70,73,65,72
Student_101_2,66,71,74,70,69
Student_101_3,63,66,65,69,66
Student_101_4,59,64,55,61,59
Student_101_5,56,57,59,59,59
Student_102_1,72,74,72,67,74
Student_102_2,62,70,71,71,65
Student_102_3,68,65,67,65,69
Student_102_4,57,62,56,61,58
Student_102_5,58,56,55,57,55
Student_103_1,72,70,71,65,73
Student_103_2,74,71,74,73,65
Student_103_3,69,65,67,66,67
Student_103_4,59,60,58,62,62
Student_103_5,57,58,59,57,55
Student_104_1,74,71,71,65,73
Student_104_2,64,71,70,70,66
Student_104_3,62,68,67,68,68
Student_104_4,58,63,55,61,56
Student_104_5,57,59,59,59,57
Student_105_1,74,70,74,71,74
Student_105_2,71,70,70,67,65
Student_105_3,61,68,68,66,65
Student_105_4,55,62,58,60,62
Student_105_5,57,57,55,59,58
Student_106_1,60,74,73,66,72
Student_106_2,73,74,71,71,69
Student_106_3,72,68,67,67,67
Student_106_4,58,61,58,62,62
Student_106_5,56,58,57,59,57
Student_107_1,72,73,74,69,74
Student_107_2,61,71,70,68,65
Student_107_3,70,68,66,67,68
Student_107_4,57,61,55,61,64
Student_107_5,57,55,56,56,55
Student_108_1,74,71,73,72,70
Student_108_2,60,71,73,71,69
Student_108_3,64,66,67,67,66
Student_108_4,57,63,56,61,64
Student_108_5,58,56,55,59,59
Student_109_1,60,72,74,70,71
Student_109_2,66,70,71,66,68
Student_109_3,66,66,65,65,69
Student_109_4,55,62,58,63,60
Student_109_5,56,56,55,58,58
Student_110_1,66,70,71,67,71
Student_110_2,63,73,71,65,68
Student_110_3,60,69,65,66,68
Student_110_4,56,60,58,60,55
Student_110_5,58,55,58,56,56
Student_111_1,64,70,70,66,72
Student_111_2,67,74,74,72,66
Student_111_3,70,68,65,67,65
Student_111_4,57,64,55,61,59
Student_111_5,58,59,56,56,58
Student_112_1,64,70,70,66,70
Student_112_2,64,74,71,68,66
Student_112_3,71,65,69,69,66
Student_112_4,57,60,55,60,57
Student_112_5,55,58,55,57,58
Student_113_1,65,74,71,70,72
Student_113_2,67,72,72,68,65
Student_113_3,65,65,67,65,68
Student_113_4,57,60,59,62,56
Student_113_5,55,57,57,57,59
Student_114_1,63,70,74,73,74
Student_114_2,61,71,72,73,65
Student_114_3,60,67,67,67,68
Student_114_4,57,61,56,64,55
Student_114_5,55,57,57,55,59
Student_115_1,66,71,72,65,70
Student_115_2,65,74,73,70,67
Student_115_3,70,65,69,66,68
Student_115_4,59,60,59,63,56
Student_115_5,59,55,59,58,56
Student_116_1,66,74,72,69,71
Student_116_2,68,73,71,68,69
Student_116_3,72,66,68,66,66
Student_116_4,58,60,56,60,58
Student_116_5,59,57,58,57,55
Student_117_1,68,73,71,72,72
Student_117_2,71,73,70,65,68
Student_117_3,74,68,69,66,67
Student_117_4,55,61,56,61,58
Student_117_5,55,55,58,57,55
Student_118_1,60,72,72,70,71
Student_118_2,70,70,70,73,69
Student_118_3,67,69,68,69,66
Student_118_4,56,64,57,61,58
Student_118_5,57,56,56,56,58
Student_119_1,61,70,72,68,73
Student_119_2,74,74,70,67,69
Student_119_3,66,68,69,65,65
Student_119_4,57,63,59,60,62
Student_119_5,57,57,57,57,56
Student_120_1,67,73,74,74,70
Student_120_2,71,72,71,69,66
Student_120_3,66,69,69,67,67
Student_120_4,59,61,55,64,62
Student_120_5,59,58,57,56,59
Student_121_1,72,73,73,71,71
Student_121_2,67,74,72,72,65
Student_121_3,69,65,67,68,65
Student_121_4,57,60,58,64,59
Student_121_5,55,58,58,59,59
Student_122_1,62,70,71,71,70
Student_122_2,65,74,73,65,68
Student_122_3,66,68,65,65,68
Student_122_4,58,62,57,61,62
Student_122_5,58,59,55,58,57
Student_123_1,62,71,70,68,70
Student_123_2,62,73,74,68,69
Student_123_3,67,65,68,69,65
Student_123_4,56,62,59,62,58
Student_123_5,57,58,58,59,55
Student_124_1,74,70,74,71,72
Student_124_2,62,70,70,70,66
Student_124_3,67,69,67,69,66
Student_124_4,57,63,57,64,57
Student_124_5,55,59,58,59,55
Student_125_1,61,74,74,70,73
Student_125_2,64,70,70,69,68
Student_125_3,60,68,67,69,68
Student_125_4,57,63,59,61,62
Student_125_5,59,59,56,57,57
Student_126_1,74,72,74,67,71
Student_126_2,65,71,70,71,67
Student_126_3,68,66,65,65,66
Student_126_4,58,62,59,64,61
Student_126_5,55,55,59,59,56
Student_127_1,61,74,74,74,73
Student_127_2,68,71,74,73,67
Student_127_3,74,66,67,68,66
Student_127_4,58,61,59,61,58
Student_127_5,56,59,55,59,59
Student_128_1,74,73,73,66,72
Student_128_2,61,70,74,73,68
Student_128_3,68,68,68,69,65
Student_128_4,55,61,59,63,59
Student_128_5,57,57,55,58,55
Student_129_1,63,71,74,72,70
Student_129_2,63,74,70,71,69
Student_129_3,72,65,66,69,65
Student_129_4,57,63,55,63,57
Student_129_5,58,59,55,55,56
Student_130_1,73,74,70,67,70
Student_130_2,61,73,74,72,68
Student_130_3,65,67,66,69,68
Student_130_4,56,61,56,61,57
Student_130_5,58,57,55,59,59
Student_131_1,61,73,70,70,72
Student_131_2,70,72,74,68,69
Student_131_3,71,69,65,68,66
Student_131_4,58,63,58,60,57
Student_131_5,58,58,59,55,57
Student_132_1,68,74,72,74,72
Student_132_2,66,70,74,65,65
Student_132_3,67,65,68,66,65
Student_132_4,57,63,56,62,59
Student_132_5,57,55,57,59,56
Student_133_1,74,70,71,65,73
Student_133_2,60,74,70,68,65
Student_133_3,74,65,68,66,65
Student_133_4,56,63,57,61,64
Student_133_5,58,56,59,56,55
Student_134_1,66,72,72,67,73
Student_134_2,62,73,70,69,66
Student_134_3,65,69,68,67,69
Student_134_4,59,61,58,63,63
Student_134_5,55,58,55,55,57
Student_135_1,65,71,72,70,72
Student_135_2,60,70,74,65,67
Student_135_3,70,68,66,65,69
Student_135_4,58,62,57,60,58
Student_135_5,58,57,55,56,59
Student_136_1,63,74,71,65,72
Student_136_2,61,71,73,68,69
Student_136_3,66,66,68,65,68
Student_136_4,59,61,57,64,60
Student_136_5,58,57,58,55,57
Student_137_1,70,72,71,67,74
Student_137_2,65,72,70,65,65
Student_137_3,61,66,65,68,68
Student_137_4,58,64,59,62,59
Student_137_5,59,56,55,59,56
Student_138_1,66,71,71,65,72
Student_138_2,65,70,73,65,68
Student_138_3,62,66,66,69,65
Student_138_4,59,64,57,63,61
Student_138_5,58,55,55,59,59
Student_139_1,70,70,73,70,72
Student_139_2,71,71,70,74,69
Student_139_3,68,66,66,69,68
Student_139_4,58,60,57,61,57
Student_139_5,56,56,58,56,57
Student_140_1,74,70,70,70,72
Student_140_2,70,73,72,66,65
Student_140_3,60,69,65,67,67
Student_140_4,57,61,59,63,59
Student_140_5,58,55,56,58,55
Student_141_1,65,71,71,72,74
Student_141_2,61,73,72,69,69
Student_141_3,62,67,67,67,65
Student_141_4,57,61,59,60,64
Student_141_5,55,56,57,59,59
Student_142_1,72,71,73,72,72
Student_142_2,62,74,74,66,67
Student_142_3,61,66,66,65,67
Student_142_4,58,61,55,64,63
Student_142_5,55,59,58,57,55
Student_143_1,68,74,74,68,71
Student_143_2,73,73,71,65,68
Student_143_3,74,65,66,67,68
Student_143_4,56,62,57,64,59
Student_143_5,58,56,57,55,57
Student_144_1,62,73,70,67,72
Student_144_2,71,74,71,66,67
Student_144_3,61,65,69,67,66
Student_144_4,56,60,59,61,62
Student_144_5,56,56,55,57,55
Student_145_1,74,71,73,69,73
Student_145_2,62,71,74,69,65
Student_145_3,74,66,68,69,68
Student_145_4,57,64,55,64,55
Student_145_5,56,57,57,59,55
Student_146_1,68,72,74,69,73
Student_146_2,63,73,73,67,67
Student_146_3,61,68,66,68,67
Student_146_4,57,64,57,60,58
Student_146_5,56,55,58,58,59
Student_147_1,65,72,72,68,73
Student_147_2,61,74,70,74,66
Student_147_3,74,67,65,66,67
Student_147_4,59,63,58,62,58
Student_147_5,58,57,55,56,59
Student_148_1,65,74,70,70,73
Student_148_2,61,73,72,65,65
Student_148_3,69,69,65,65,67
Student_148_4,55,62,59,63,60
Student_148_5,55,55,57,58,57
Student_149_1,64,74,72,66,73
Student_149_2,60,73,74,72,66
Student_149_3,64,68,66,65,69
Student_149_4,56,63,56,61,64
Student_149_5,59,58,57,59,56
Student_150_1,63,71,71,68,71
Student_150_2,64,74,74,72,67
Student_150_3,74,65,65,66,66
Student_150_4,59,62,55,62,58
Student_150_5,59,55,59,56,58
Student_151_1,60,72,74,67,73
Student_151_2,61,74,70,74,66
Student_151_3,74,69,65,67,68
Student_151_4,56,61,58,64,55
Student_151_5,56,59,55,58,57
Student_152_1,65,72,73,71,73
Student_152_2,61,73,71,66,68
Student_152_3,64,69,65,67,68
Student_152_4,55,64,59,62,56
Student_152_5,55,57,55,55,58
Student_153_1,74,70,74,73,71
Student_153_2,74,71,74,68,65
Student_153_3,71,66,68,66,67
Student_153_4,58,61,55,63,58
Student_153_5,56,59,56,58,58
Student_154_1,68,73,74,68,70
Student_154_2,61,71,74,69,69
Student_154_3,71,67,69,66,65
Student_154_4,55,62,58,63,64
Student_154_5,55,57,56,56,59
Student_155_1,73,72,74,71,72
Student_155_2,69,70,74,72,67
Student_155_3,72,67,67,69,69
Student_155_4,55,63,56,63,55
Student_155_5,57,59,57,59,57
Student_156_1,61,73,74,66,70
Student_156_2,70,70,72,73,69
Student_156_3,63,65,66,68,66
Student_156_4,56,61,57,60,62
Student_156_5,59,57,57,58,55
Student_157_1,68,72,70,67,71
Student_157_2,65,71,70,65,66
Student_157_3,74,69,66,67,68
Student_157_4,58,64,57,63,57
Student_157_5,55,55,58,56,57
Student_158_1,65,71,72,69,70
Student_158_2,74,70,71,72,65
Student_158_3,62,69,68,66,66
Student_158_4,56,60,58,60,64
Student_158_5,59,56,58,58,56
Student_159_1,66,71,72,65,73
Student_159_2,72,74,74,74,69
Student_159_3,71,67,66,65,69
Student_159_4,58,64,58,63,62
Student_159_5,58,56,58,58,56
Student_160_1,67,70,74,70,72
Student_160_2,65,74,73,74,69
Student_160_3,66,68,69,69,68
Student_160_4,59,63,59,63,63
Student_160_5,58,59,58,57,56
Student_161_1,74,70,70,65,71
Student_161_2,67,70,70,69,67
Student_161_3,66,68,67,65,67
Student_161_4,56,61,57,62,58
Student_161_5,57,55,56,55,58
Student_162_1,65,74,74,67,74
Student_162_2,61,73,70,74,69
Student_162_3,71,69,67,69,69
Student_162_4,58,60,55,63,58
Student_162_5,58,57,56,55,59
Student_163_1,64,74,73,72,73
Student_163_2,60,71,70,69,69
Student_163_3,69,65,68,66,65
Student_163_4,58,61,56,64,56
Student_163_5,58,58,56,57,59
Student_164_1,60,70,70,67,74
Student_164_2,64,70,70,66,66
Student_164_3,72,69,66,66,66
Student_164_4,59,61,55,60,64
